Pseudo-terminal will not be allocated because stdin is not a terminal.
[32mForwarding HTTP traffic from https://rectus.serveo.net
[0mHTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/css/main.css
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/js/main.js
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/js/location.js
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/js/info.js
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/js/warpspeed.min.js
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/php/info.php
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/php/result.php
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/php/result.php
HTTP request from 182.1.57.253 to https://rectus.serveo.net/nearyou/php/info.php
